assay	context
KLF12	EmbryonicKidney
KLF13	BoneMarrow
KLF15	EmbryonicKidney
KLF15	Muscle
KLF16	BoneMarrow
KLF17	EmbryonicKidney
KLF4	Breast
KLF4	Foreskin
KLF4	Lung
KLF4	Pancreaticductal
KLF4	Skin
KLF5	Colon
KLF5	Headandneck
KLF5	Pancreaticductal
KLF5	Stomach
KLF6	Pancreaticductal
KLF7	EmbryonicKidney
KLF8	EmbryonicKidney
KLF9	Breast
KLF9	EmbryonicKidney
KMT2A	BoneMarrow
KMT2A	Cordblood
KMT2A	Spleen
KMT2B	Colon
KMT2D	Blood
KMT2D	Breast
KMT2D	Tonsil
KRAB	BoneMarrow
L3MBTL2	BoneMarrow
L3MBTL4	Liver
LANA	Blood
LARP7	BoneMarrow
LARP7	Cervix
LARP7	Colon
LDB1	Blood
LEF1	BoneMarrow
LHX2	Colon
LIN9	Cervix
LMNA	Cervix
LMNB1	Lung
LMO1	Blood
LMO2	Blood
LMTK3	Breast
LOXL1	Lenscapsule
LYL1	Blood
MAF	Blood
MAFB	Foreskin
MAFF	BoneMarrow
MAFF	Liver
MAFG	BoneMarrow
MAFK	Blood
MAFK	BoneMarrow
MAFK	Cervix
MAFK	Colon
MAFK	Embryo
MAFK	Liver
MAFK	Lung
MAML3	Brain
MAPK1	Cervix
MAX	Blood
MAX	BoneMarrow
MAX	Brain
MAX	Breast
MAX	Cervix
MAX	Colon
MAX	Embryo
MAX	Endometrium
MAX	Liver
MAX	Lung
MAX	UmbilicalVein
MAZ	Blood
MAZ	BoneMarrow
MAZ	Cervix
MAZ	EmbryonicKidney
MAZ	Liver
MAZ	Lung
MBD1	isoform1
MBD1	isoform2
MBD2	BoneMarrow
MBD2	Breast
MBD2	Cervix
MBD3	Breast
MBD3	Cervix
MBD4	Liver
MBOAT4	Cervix
MCRS1	Liver
MECOM	Colon
MECP2	Colon
MECP2	Lung
MED1	Adipose
MED1	Blood
MED1	BoneMarrow
MED1	Brain
MED1	Breast
MED1	Colon
MED1	Embryo
MED1	Lung
MED1	Prostate
MED12	Colon
MEF2A	Blood
MEF2A	BoneMarrow
MEF2A	Brain
MEF2C	Blood
MEF2D	BoneMarrow
MEN1	Breast
MIER1	BoneMarrow
MITF	Skin
MKL2	Muscle
MLLT1	Blood
MLLT1	BoneMarrow
MLLT1	Breast
MNT	Colon
MNT	Liver
MRE11A	Prostate
MTA2	Blood
MTA2	BoneMarrow
MTA3	Blood
MTA3	Breast
MTOR	Prostate
MXI1	Blood
MXI1	BoneMarrow
MXI1	Brain
MXI1	Cervix
MXI1	Embryo
MXI1	Liver
MXI1	Lung
MYB	Blood
MYB	PeripheralBlood
MYBL2	Cervix
MYBL2	Liver
MYC	Blood
MYC	Bone
MYC	BoneMarrow
MYC	Brain
MYC	Breast
MYC	Cervix
MYC	Colon
MYC	Embryo
MYC	EmbryonicKidney
MYC	Liver
MYC	Lung
MYC	MammaryGland
MYC	Prostate
MYC	Skin
MYC	UmbilicalVein
MYCN	BoneMarrow
MYH11	Pleura
MYNN	BoneMarrow
MYNN	EmbryonicKidney
MYOD1	Muscle
MYOG	Embryo
NANOG	Embryo
NANOG	Prostate
NBN	Blood
NBN	BoneMarrow
NBN	Breast
NCAPG	Breast
NCAPG2	Breast
NCAPH2	EmbryonicKidney
NCOA1	BoneMarrow
NCOR1	Blood
NCOR1	BoneMarrow
NCOR1	Colon
NCOR1	EmbryonicKidney
NCOR2	BoneMarrow
NELFA	Cervix
NELFE	Breast
NELFE	Cervix
NELFE	Embryo
NEUROG2	FetalLung
NFAT5	Colon
NFATC1	Blood
NFATC1	UmbilicalVein
NFATC3	Liver
NFE2	BoneMarrow
NFE2	FetalLiver
NFE2L1	BoneMarrow
NFE2L2	Cervix
NFE2L2	Lung
NFIA	BoneMarrow
NFIA	Liver
NFIC	Blood
NFIC	Brain
NFIC	Endometrium
NFIC	Liver
NFIL3	Liver
NFRKB	BoneMarrow
NFYA	Blood
NFYA	BoneMarrow
NFYA	Cervix
NFYA	Colon
NFYB	Blood
NFYB	BoneMarrow
NFYB	Cervix
NFYC	Colon
NIPBL	Blood
NIPBL	Breast
NIPBL	Colon
NIPBL	Lung
NKRF	BoneMarrow
NME2	Lung
NONO	Breast
NOTCH1	Blood
NPAT	Colon
NR2C2	Blood
NR2C2	BoneMarrow
NR2C2	Cervix
NR2C2	Liver
NR2C2	Lung
NR2F1	BoneMarrow
NR2F1	Cranial
NR2F2	BoneMarrow
NR2F2	Breast
NR2F2	Cranial
NR2F2	Liver
NR2F2	Lung
NR2F6	BoneMarrow
NR2F6	Liver
NR3C1	Blood
NR3C1	Bone
NR3C1	Breast
NR3C1	Cervix
